ENOTA,VDV_MID,VDV_ID,VDV_UIME,VDV_DJ,POV_KM2,D_OD,DV_OD,N8,C1,STATUS,CEN_E,CEN_N
VD,18677857,610005,OSNOVNA ŠOLA NARODNEGA HEROJA RAJKA HRASTNIK,,0.08,2021/05/20,2021/05/20,610005,,V,506260,111415
VD,18677873,610006,GLASBENA ŠOLA HRASTNIK,,0.95,2021/05/20,2021/05/20,610006,,V,506540,111075
VD,18677881,610008,VEČNAMENSKI OBJEKT PODKRAJ 91 A,,3.64,2021/05/20,2021/05/20,610008,,V,507240,109535
VD,18677890,610009,"OŠ NH RAJKA HRASTNIK, PODRUŽNICA DOL PRI HRASTNIK",,1.77,2021/05/20,2021/05/20,610009,,V,509040,111185
VD,18677911,610010,"OŠ NH RAJKA, PODRUŽNICA DOL PRI HRASTNIKU",,4.97,2021/05/20,2021/05/20,610010,,V,509040,111415
VD,18677920,610011,prostori PLANINSKEGA DOMA NA KALU,,3.5,2021/05/20,2021/05/20,610011,,V,508680,114695
VD,18677938,610012,"prostori KRAJEVNE SKUPNOSTI MARNO, MARNO 44 A",,5.16,2022/08/31,2022/08/31,610012,,V,509980,112135
VD,18677946,610017,BIVŠA OSNOVNA ŠOLA PODKRAJ,,9.59,2021/05/20,2021/05/20,610017,,V,510270,106865
VD,18677954,610020,"Osnovna šola Alojza Hohkrauta, Trg  revolucije 19",,0.63,2021/05/19,2021/05/21,610020,,V,503030,111835
VD,18677962,610021,"OŠ ALOJZA HOHKRAUTA, TRG REVOLUCIJE 19, TRBOVLJE",,0.84,2022/02/24,2022/02/24,610021,,V,503410,111845
VD,18677989,610022,"Delavski Dom Trbovlje, Trg svobode 11a, avla doma",,0.91,2021/05/19,2021/05/21,610022,,V,503540,112405
VD,18677997,610024,"Srednja tehniška in poklicna šola, Šuštarjeva 7a",,0.08,2021/05/19,2021/05/21,610024,,V,503730,111875
VD,18678004,610025,"Dom upokojencev Franc Salamon, Kol.1.maja 21",,0.33,2021/05/19,2021/05/21,610025,,V,504131,112176
VD,18678039,610029,"KD Svoboda Trbovlje, Trg Franca Fakina 4",,0.52,2021/05/19,2021/05/21,610029,,V,504026,113511
VD,18678047,610033,"Sejna dvorana Občine Trbovlje, Mestni trg 4",,0.11,2021/05/19,2021/05/21,610033,,V,504080,112705
