ENOTA,SL_MID,SL_ID,SL_UIME,POV_KM2,D_OD,DV_OD,STATUS,CEN_E,CEN_N
SL,18044714,43999,Skupni ŠO 043050 043010,4.91,2015/02/10,2015/02/10,V,470300,120097
SL,18044722,43998,Skupni ŠO 043050 043020,1.6,2015/02/10,2015/02/10,V,469950,119097
SL,18130092,66010,OŠ dr.A. Debeljaka Loški Potok,53.19,1999/02/09,1999/02/09,V,468078,62486
SL,18130106,66011,Podružnična šola Podpreska,81.15,1999/02/09,1999/02/09,V,473058,54826
SL,18130114,165010,OŠ Fara,53.12,1999/02/09,1999/02/09,V,490148,41375
SL,18130122,165011,Podružnična šola Osilnica,36.22,1999/02/09,1999/02/09,V,477248,44806
SL,18130149,104010,OŠ dr. F. Prešerna Ribnica,58.12,1999/02/09,1999/02/09,V,479048,66586
SL,18130157,104011,Podružnična šola Dolenja vas,57.61,1999/02/09,1999/02/09,V,480008,61976
SL,18130165,104012,Podružnična šola Sušje,24.03,1999/02/09,1999/02/09,V,475378,72296
SL,18130173,179010,OŠ dr. I. Prijatelja Sodražica,49.34,1999/02/09,1999/02/09,V,471708,69146
SL,18130181,179011,Podružnična šola Sveti Gregor,14.15,1999/02/09,1999/02/09,V,469998,72466
SL,18130343,48010,OŠ Ob Rinži Kočevje,83.87,1999/03/02,1999/03/05,V,495608,53986
SL,18130424,48011,Podružnična OŠ Kočevska Reka,156.58,1999/03/02,1999/03/05,V,488208,48006
SL,18130432,48012,Podružnična OŠ Livold,103.65,1999/03/02,1999/03/05,V,495898,47545
SL,18130459,48020,OŠ Stara Cerkev,151.06,1999/03/02,1999/03/05,V,487618,59006
SL,18130467,48021,Podružnična OŠ Željne,7.59,1999/03/02,1999/03/05,V,490878,57876
SL,18130475,48030,OŠ Zbora odposlancev Kočevje,16.3,1999/03/02,1999/03/05,V,488008,55766
SL,18130483,17010,OŠ Stari trg ob Kolpi,39.57,1999/03/17,1999/03/17,V,503178,44625
SL,18238551,60010,OŠ Gabrovka-Dole,42.42,1999/01/21,1999/01/29,V,498429,95505
SL,18238560,60011,Podružnična OŠ Dole pri Litiji,41.8,1999/01/21,1999/01/29,V,502379,99385
SL,18238578,60020,OŠ Gradec,9.59,1999/01/21,1999/01/29,V,486639,102416
SL,18238586,60021,Podružnična OŠ Hotič,10.44,1999/01/21,1999/01/29,V,486089,106616
SL,18238594,60022,Podružnična OŠ Jevnica,13.35,1999/01/21,1999/01/29,V,479209,104816
SL,18238608,60023,Podružnična OŠ Kresnice,7.41,1999/01/21,1999/01/29,V,483059,104886
SL,18238616,60024,Podružnična OŠ Vače,23.4,1999/01/21,1999/01/29,V,487770,108076
SL,18238624,60030,OŠ Litija,19.89,1999/01/21,1999/01/29,V,486869,101866
SL,18238632,60031,Podružnična OŠ Konjšica,9.12,1999/01/21,1999/01/29,V,497830,106396
SL,18238659,60032,Podružnična OŠ Polšnik,28.18,1999/01/21,1999/01/29,V,496980,103166
SL,18238667,60033,Podružnična OŠ Sava,4.29,1999/01/21,1999/01/29,V,491705,105530
SL,18238675,60040,OŠ Šmartno,42.12,1999/01/21,1999/01/29,V,491629,99736
SL,18238683,60041,Podružnična OŠ Javorje,5.5,1999/01/21,1999/01/29,V,488869,97246
SL,18238691,60042,Podružnična OŠ Primskovo,13.03,1999/01/21,1999/01/29,V,493309,93436
SL,18238705,60043,Podruž. OŠ Štangarske Poljane,29.42,1999/01/21,1999/01/29,V,481929,98736
SL,18238713,60044,Podruž. OŠ Velika Kostrevnica,16.35,1999/01/21,1999/01/29,V,491179,97856
SL,18361914,22010,OŠ Dol pri Ljubljani,12.21,1999/01/07,1999/01/08,V,472449,105406
SL,18361922,22011,OŠ Dolsko,17.19,1999/01/07,1999/01/08,V,474429,106156
SL,18361949,22012,OŠ Senožeti,3.94,1999/01/07,1999/01/08,V,479619,105896
SL,18361957,23060,OŠ Dragomelj,4.35,2007/07/30,2007/07/30,V,468009,106416
SL,18361965,61020,OŠ Bičevje,5.44,1999/01/07,1999/01/08,V,458899,99286
SL,18361973,61030,OŠ Božidarja Jakca,0.72,1999/01/07,1999/01/08,V,464829,101316
SL,18361981,61031,OŠ Hrušica,6.08,1999/01/07,1999/01/08,V,466669,99646
SL,18361990,61310,OŠ Savsko naselje,1.23,1999/01/07,1999/01/08,V,462983,102712
SL,18362007,61010,OŠ Bežigrad,0.42,1999/01/07,1999/01/08,V,462649,102706
SL,18362015,61040,OŠ Danile Kumar,7.99,1999/01/07,1999/01/08,V,462549,105937
SL,18362023,61050,OŠ Dr. Vita Kraigherja,1.13,1999/01/07,1999/01/08,V,461969,103536
SL,18362031,61060,OŠ Dravlje,1.95,1999/01/07,1999/01/08,V,459749,104597
