ENOTA,NA_MID,NA_ID,NA_UIME,NA_DJ,OB_MID,POV_KM2,D_OD,DV_OD,STATUS,CEN_E,CEN_N
NA,10133033,33,Klopce,,11027393,1.3,1995/01/01,1995/01/01,V,546021,141255
NA,10133041,34,Kočno ob Ložnici,,11027393,2.32,1995/01/01,1995/01/01,V,547311,133165
NA,10133050,35,Kočno pri Polskavi,,11027393,1.86,1995/01/01,1995/01/01,V,545261,144605
NA,10133068,7,Koritno,,21427861,3.84,1998/11/22,1998/11/27,V,533501,140265
NA,10133076,37,Korplje,,11027393,0.16,1995/01/01,1995/01/01,V,539381,137735
NA,10133084,38,Kostanjevec,,11027393,2,1995/01/01,1995/01/01,V,539531,139555
NA,10133092,39,Kot na Pohorju,,11027393,11.11,1998/11/01,1998/11/16,V,533382,144286
NA,10133106,40,Kovača vas,,11027393,3.41,1995/01/01,1995/01/01,V,542831,140865
NA,10133114,8,Kovaški Vrh,,21427861,1.43,1998/11/22,1998/11/27,V,531861,140055
NA,10133122,5,Krasna,,21436488,0.46,2006/04/06,2006/04/12,V,548401,129755
NA,10133149,6,Križeča vas,,21436488,1.15,2006/04/06,2006/04/12,V,546951,130365
NA,10133157,9,Lačna Gora,,21427861,1.29,1998/11/22,1998/11/27,V,534551,139665
NA,10133165,46,Laporje,,11027393,3.59,1995/01/01,1995/01/01,V,545631,134335
NA,10133173,47,Leskovec,,11027393,3.13,1995/01/01,1995/01/01,V,548911,138985
NA,10133181,48,Levič,,11027393,1.72,1995/01/01,1995/01/01,V,541591,134625
NA,10133190,7,Ljubično,,21436488,2.65,2006/04/06,2006/04/12,V,543431,128865
NA,10133203,50,Lokanja vas,,11027393,1.23,1995/01/01,1995/01/01,V,545981,137105
NA,10133211,8,Lovnik,,21436488,1.73,2006/04/06,2006/04/12,V,543031,126615
NA,10133220,3,Ložnica,,21436461,2.04,2006/04/06,2006/04/12,V,550011,133405
NA,10133238,53,Lukanja,,11027393,22.28,1995/01/01,1995/01/01,V,530331,144675
NA,10133246,9,Lušečka vas,,21436488,2.01,2006/04/06,2006/04/12,V,543191,129985
NA,10133254,4,Makole,,21436461,1.02,2006/04/06,2006/04/12,V,551707,130998
NA,10133262,10,Malahorna,,21427861,2.05,1998/11/22,1998/11/27,V,533431,137155
NA,10133289,57,Malo Tinje,,11027393,0.94,1995/01/01,1995/01/01,V,537811,141715
NA,10133297,11,Markečica,,21427861,1.95,1998/11/22,1998/11/27,V,534271,136495
NA,10133319,10,Modraže,,21436488,1.45,2006/04/06,2006/04/12,V,548711,130375
NA,10133327,60,Modrič,,11027393,2.8,1995/01/01,1995/01/01,V,536181,141235
NA,10133335,5,Mostečno,,21436461,2.12,2006/04/06,2006/04/12,V,551431,133554
NA,10133343,62,Nadgrad,,11027393,1.34,1995/01/01,1995/01/01,V,534711,142535
NA,10133351,11,Novake,,21436488,0.91,2006/04/06,2006/04/12,V,547971,129975
NA,10133360,64,Ogljenšak,,11027393,0.81,1995/01/01,1995/01/01,V,546331,144015
NA,10133378,12,Okoška Gora,,21427861,0.87,1998/11/22,1998/11/27,V,537511,139635
NA,10133386,13,Oplotnica,,21427861,3.6,1998/11/22,1998/11/27,V,534401,138852
NA,10133394,67,Ošelj,,11027393,3.26,1995/01/01,1995/01/01,V,540051,144805
NA,10133408,6,Pečke,,21436461,2.75,2006/04/06,2006/04/12,V,552231,132974
NA,10133416,69,Planina pod Šumikom,,11027393,23.37,1995/01/01,1995/01/01,V,537691,144985
NA,10133424,14,Pobrež,,21427861,1.03,1998/11/22,1998/11/27,V,535521,135545
NA,10133432,12,Podboč,,21436488,0.55,2006/04/06,2006/04/12,V,545661,129365
NA,10133459,72,Podgrad na Pohorju,,11027393,0.5,1998/11/01,1998/11/16,V,534401,141485
NA,10133467,73,Pokoše,,11027393,4.39,1995/01/01,1995/01/01,V,546811,142015
NA,10133475,13,Poljčane,,21436488,2.5,2006/04/06,2006/04/12,V,544601,130585
NA,10133483,75,Pragersko,,11027393,5.45,1995/01/01,1995/01/01,V,550862,139750
