ENOTA,UL_MID,UL_ID,UL_UIME,UL_DJ,NA_MID,OB_MID,D_OD,DV_OD,STATUS
UL,16211567,1223,Tržaška cesta,,10110084,11027849,2002/12/04,2002/12/09,V
UL,16211575,1,Brglezov štradon,,10111323,11027849,1995/01/01,1995/01/01,V
UL,16211583,2,Črna vas,,10111323,11027849,1995/01/01,1995/01/01,V
UL,16211591,1,Cesta dveh potokov,,10111366,11026745,1995/01/01,1995/01/01,V
UL,16211605,2,Cesta 7. maja,,10111366,11026745,1995/01/01,1995/01/01,V
UL,16211613,3,Devce,,10111366,11026745,1995/01/01,1995/01/01,V
UL,16211621,4,Dobrova,,10111366,11026745,1995/01/01,1995/01/01,V
UL,16211630,5,Horjulska cesta,,10111366,11026745,1995/01/01,1995/01/01,V
UL,16211648,6,Na ravni,,10111366,11026745,1995/01/01,1995/01/01,V
UL,16211656,7,Polhograjska cesta,,10111366,11026745,1995/01/01,1995/01/01,V
UL,16211664,8,Pot čez Horjulko,,10111366,11026745,1995/01/01,1995/01/01,V
UL,16211672,9,Pot do Andrejčka,,10111366,11026745,1995/01/01,1995/01/01,V
UL,16211699,10,Pot na Gornje polje,,10111366,11026745,1995/01/01,1995/01/01,V
UL,16211702,11,Pri Muretu,,10111366,11026745,1995/01/01,1995/01/01,V
UL,16211729,12,Stara cesta,,10111366,11026745,1995/01/01,1995/01/01,V
UL,16211737,13,Ulica Emila Adamiča,,10111366,11026745,1995/01/01,1995/01/01,V
UL,16211745,14,Ulica Vladimirja Dolničarja,,10111366,11026745,1995/01/01,1995/01/01,V
UL,16211753,15,Vrti,,10111366,11026745,1995/01/01,1995/01/01,V
UL,16211761,1,Babnogoriška cesta,,10111943,11027504,1995/01/01,1995/01/01,V
UL,16211770,2,Babškova pot,,10111943,11027504,1995/01/01,1995/01/01,V
UL,16211788,3,Cesta ob Barju,,10111943,11027504,1995/01/01,1995/01/01,V
UL,16211796,4,Cesta ob Barju,,10112893,11027504,1995/01/01,1995/01/01,V
