ENOTA,ODO_MID,ODO_ID,ODO_UIME,POV_KM2,D_OD,DV_OD,STATUS,CEN_E,CEN_N
CK,16905046,11601,Aljažev hrib,3.48,1999/02/24,1999/02/26,V,522110,120905
CK,16905054,11602,Ljubečna,9.36,1999/02/24,1999/02/26,V,524910,123975
CK,16905062,11603,Medlog,5.35,1999/02/24,1999/02/26,V,517774,123034
CK,16905089,11604,Ostrožno,7.5,1999/02/24,1999/02/26,V,519650,124625
CK,16905097,11605,Pod gradom,22.02,1999/02/24,1999/02/26,V,520050,119265
CK,16905119,11606,Škofja vas,7,1999/02/24,1999/02/26,V,522190,125565
CK,16905127,11607,Šmartno v Rožni dolini,20.49,1999/02/24,1999/02/26,V,518710,128345
CK,16905135,11608,Teharje,5.4,1999/02/24,1999/02/26,V,523850,121915
CK,16905143,11609,Trnovlje,3.06,1999/02/24,1999/02/26,V,522590,123665
CK,16922811,38621,Jasen,2.26,2003/04/22,2003/04/22,V,442288,46676
CK,17147366,94614,Krajevna skupnost Slavina,6.87,2006/07/28,2006/08/10,V,435968,63896
CK,17148796,94615,Orehek,9.09,2014/09/12,2014/09/12,V,434168,68036
CK,17148800,94616,Krajevna skupnost Štivan,6.76,2018/07/27,2018/07/27,V,437058,67058
CK,17148818,38622,Bač,26.55,2018/10/01,2018/10/01,V,441908,55186
CK,17254189,35611,Vrhpolje,6.5,2000/04/19,2000/04/19,V,416568,54716
CK,17254197,35612,Krvavi potok,3.97,2000/04/19,2000/04/19,V,415118,53346
CK,17254219,35613,Kozina,2.96,2000/04/19,2000/04/19,V,417052,52683
CK,17254227,35614,Brezovica,3.17,2000/04/19,2000/04/19,V,422248,51796
CK,17258222,35615,Klanec pri Kozini,8.01,2002/07/26,2002/08/29,V,416208,50936
CK,17268503,19606,Dolnje Ležeče,4.47,2014/08/07,2014/08/07,V,420628,60266
CK,17269771,111613,Križ,7.85,2022/08/24,2022/08/24,V,411938,67867
CK,17369598,53604,"""Rute"" - Gozd Martuljek, Srednji vrh",57.85,2006/09/11,2006/09/11,V,409879,150308
CK,17369709,53605,Podkoren,13.66,2014/09/04,2014/09/04,V,404629,151268
CK,17473913,95601,Bašelj,6.45,1999/04/09,1999/04/12,V,453910,130807
CK,17473921,95604,Mače,10.05,1999/04/09,1999/04/12,V,455580,129937
CK,17473930,95606,Tupaliče,10.68,1999/04/09,1999/04/12,V,455780,127907
CK,17495917,52626,Hrastje,2.93,2002/07/11,2002/07/11,V,452149,120387
CK,17577778,4601,Bohinjska Bistrica,134.43,1997/12/11,1997/12/11,V,419259,126588
CK,17577786,4602,Koprivnik - Gorjuše,29.25,1997/12/11,1997/12/11,V,421559,130678
CK,17577794,4603,Srednja vas v Bohinju,39.38,1997/12/11,1997/12/11,V,417999,130818
CK,17577808,4604,Stara Fužina,130.78,1997/12/11,1997/12/11,V,412809,129218
CK,17585975,102612,Otok,3.04,2001/03/13,2001/03/13,V,438750,134787
CK,17589121,3605,Rečica,2.99,2014/11/14,2014/11/14,V,430539,137528
CK,17798359,23601,Dob,14.63,1997/11/25,1997/11/26,V,471269,112776
CK,17798367,23602,Dragomelj - Pšata,4.44,1997/11/25,1997/11/26,V,468399,107806
CK,17798375,23603,Homec - Nožice,2.29,1997/11/25,1997/11/26,V,468960,115296
CK,17798383,23604,Ihan,11.87,1997/11/25,1997/11/26,V,470819,107686
CK,17798391,23605,Jarše - Rodica,1.73,1997/11/25,1997/11/26,V,468879,112496
CK,17798405,23606,Krtina,7.97,1997/11/25,1997/11/26,V,474289,111586
CK,17798413,23607,Preserje,1.17,1997/11/25,1997/11/26,V,468759,114506
CK,17798421,23608,Radomlje,4.27,1997/11/25,1997/11/26,V,469960,114826
CK,17798448,23610,Rova,10.03,1997/11/25,1997/11/26,V,473470,115786
